date,code,name,mw_prob,score,entry_date,exit_date,entry,exit,ret_pct,pnl
2026-05-06,600111.SH,北方稀土,0.9998735431668415,92.15266731006706,2026-05-07,2026-05-12,55.613295,57.81315,3.9556278763917874,0.39556278763917874
2026-05-06,603978.SH,深圳新星,0.37616511650942447,42.2559931774737,2026-05-07,2026-05-12,30.355465,31.542615,3.9108279184654426,0.39108279184654426
2026-05-06,603045.SH,福达合金,0.37616511650942447,42.2559931774737,2026-05-07,2026-05-12,56.574735000000004,75.077215,32.7044925619183,3.27044925619183
2026-05-11,002185.SZ,华天科技,0.9998785488156775,91.13516554188529,2026-05-12,2026-05-15,14.822200000000002,14.25858,-3.8025394340921226,-0.38025394340921226
2026-05-11,600198.SH,大唐电信,0.5647702890945425,55.64150221396464,2026-05-12,2026-05-15,10.105135,9.355945,-7.413953400919437,-0.7413953400919437
2026-05-11,600584.SH,长电科技,0.48300409738415934,49.785209427363824,2026-05-12,2026-05-15,56.84514,55.087245,-3.0924279542630995,-0.30924279542630995
2026-05-19,603068.SH,博通集成,0.9997960635963647,87.03640155885677,2026-05-20,2026-05-25,38.087045,38.142700000000005,0.1461258020936107,0.01461258020936107
2026-05-19,002119.SZ,康强电子,0.48300409738415934,45.69304426188034,2026-05-20,2026-05-25,24.17621,23.794255,-1.5798795592857684,-0.15798795592857684
2026-05-19,300632.SZ,光莆股份,0.37616511650942447,37.14592579190155,2026-05-20,2026-05-25,41.26180000000001,35.955985,-12.85890339248411,-1.2858903392484111
2026-05-22,603663.SH,三祥新材,0.37616511650942447,32.71320932075396,2026-05-25,2026-05-28,53.0795,64.58298,21.672170988799834,2.1672170988799837
2026-05-22,605376.SH,博迁新材,0.37616511650942447,32.71320932075396,2026-05-25,2026-05-28,168.882945,174.7375,3.466634833967408,0.3466634833967408
2026-05-22,000962.SZ,东方钽业,0.37616511650942447,32.71320932075396,2026-05-25,2026-05-28,67.27075500000001,63.904,-5.004782538861063,-0.5004782538861063
2026-05-27,600779.SH,水井坊,0.657696965899409,58.945757271952715,2026-05-28,2026-06-02,34.69196,33.599525,-3.1489572800153187,-0.31489572800153187
2026-06-01,601916.SH,浙商银行,0.999823996137558,86.29101773101891,2026-06-02,2026-06-05,3.0645900000000004,3.05541,-0.29955067398902413,-0.029955067398902413
