date,code,name,score,mw_prob,industry,ret_1d,ret_3d,ret_5d
2026-05-06,600111.SH,北方稀土,92.15266731006706,0.9998735431668415,小金属,-0.37824207492795914,4.196685878962536,1.1527377521613813
2026-05-11,002185.SZ,华天科技,91.13516554188529,0.9998785488156775,半导体,-2.103120759837185,-3.256445047489831,-0.33921302578019397
2026-05-19,603068.SH,博通集成,87.03640155885677,0.9997960635963647,半导体,-0.4165581879718716,-1.3017443374121362,-2.2650351470971053
2026-06-01,601916.SH,浙商银行,86.29101773101891,0.999823996137558,银行,0.32679738562091387,0.0,-0.326797385620925
2026-05-27,600779.SH,水井坊,58.945757271952715,0.657696965899409,白酒,2.5044195639363664,-0.6482027106658794,-3.7418974661166615
2026-05-11,600198.SH,大唐电信,55.64150221396464,0.5647702890945425,通信设备,3.9094650205761194,-2.263374485596714,-4.423868312757218
2026-05-11,600584.SH,长电科技,49.785209427363824,0.48300409738415934,半导体,-1.0567795092244259,-2.7225506000358113,4.477879276374708
2026-05-11,002396.SZ,星网锐捷,46.50182176499184,0.4505242834823825,通信设备,0.911662999056917,-1.7604526878340132,-1.2574662055957253
2026-05-19,002119.SZ,康强电子,45.69304426188034,0.48300409738415934,半导体,-1.6748366013071947,-3.8807189542483633,3.3905228758169814
2026-05-06,603978.SH,深圳新星,42.2559931774737,0.37616511650942447,小金属,-0.3374957813027213,3.881201484981456,6.918663516706047
2026-05-06,603399.SH,永杉锂业,42.2559931774737,0.37616511650942447,小金属,5.860290670417245,15.142991092358194,8.81387716830757
2026-05-06,603045.SH,福达合金,42.2559931774737,0.37616511650942447,小金属,10.009737098344695,33.106134371957154,50.165530671859784
2026-05-06,002149.SZ,西部材料,42.2559931774737,0.37616511650942447,小金属,5.167477812768384,7.987403378184932,7.3003149155453695
2026-05-11,300604.SZ,长川科技,41.238090957385026,0.37616511650942447,半导体,-2.4403644521770906,-4.367931871251319,-4.230575523098768
2026-05-19,300632.SZ,光莆股份,37.14592579190155,0.37616511650942447,半导体,-6.9839015151515245,-13.162878787878796,-22.679924242424253
2026-05-19,605358.SH,立昂微,37.14592579190155,0.37616511650942447,半导体,1.105673373210081,-5.328983143012511,-4.295812941816212
2026-05-22,603663.SH,三祥新材,32.71320932075396,0.37616511650942447,小金属,10.001980590215886,27.015250544662294,16.597346009110716
2026-05-22,605376.SH,博迁新材,32.71320932075396,0.37616511650942447,小金属,8.851924331376381,8.193085453359416,16.327462491846045
2026-05-22,000962.SZ,东方钽业,32.71320932075396,0.37616511650942447,小金属,4.048192771084325,3.0040160642570424,-4.160642570281126
2026-05-19,688508.SH,芯朋微,7.054961038775961,2.8057095354711163e-05,半导体,0.5360205831903997,-2.4442538593482,-0.6217838765008588
2026-05-27,600197.SH,伊力特,6.331849479827337,2.311849784171591e-05,白酒,-2.6717557251908386,-2.519083969465652,-9.389312977099241
2026-05-27,600559.SH,老白干酒,6.331849479827337,2.311849784171591e-05,白酒,-4.211332312404292,0.6125574272588086,-2.9862174578866862
2026-05-27,002646.SZ,天佑德酒,6.331354453874191,1.6930673427387587e-05,白酒,-2.3285899094437346,1.2936610608020649,-3.363518758085393
2026-05-27,600519.SH,贵州茅台,6.331354453874191,1.6930673427387587e-05,白酒,-2.073676132003066,0.5065234075211089,-1.6185725249424299
2026-06-01,601187.SH,厦门银行,6.307342607642635,2.8057095354711163e-05,银行,0.26845637583892135,-3.892617449664426,-1.744966442953022
2026-06-01,601009.SH,南京银行,6.307068167388869,2.4626592182643804e-05,银行,0.2671415850400649,-1.9590382902938575,1.1576135351736294
2026-06-01,002807.SZ,江阴银行,6.30685989352084,2.2023168832271506e-05,银行,-0.4889975550122161,-4.400977995110022,-3.6674816625916873
2026-06-01,601665.SH,齐鲁银行,6.3064524938884485,1.6930673427387587e-05,银行,-0.32102728731943087,-3.6918138041733606,-2.5682182985553803
2026-05-14,688234.SH,天岳先进,4.455666252790612,2.8057095354711163e-05,半导体,-6.035502958579874,-11.976331360946746,-17.39053254437869
2026-05-14,688409.SH,富创精密,4.455666252790612,2.8057095354711163e-05,半导体,14.25051045553758,23.142997958177848,15.172850806167727
2026-05-14,688146.SH,中船特气,4.455666252790612,2.8057095354711163e-05,半导体,3.139172335600904,-10.622165532879823,-9.389172335600904
2026-05-14,688172.SH,燕东微,4.455666252790612,2.8057095354711163e-05,半导体,-4.496469713861018,-0.9104422147900415,-3.3816425120772986
2026-05-14,688368.SH,晶丰明源,4.455666252790612,2.8057095354711163e-05,半导体,-2.075572112825974,3.3262373602980233,5.4018094731240085
2026-05-22,688362.SH,甬矽电子,3.398821524684889,2.8057095354711163e-05,半导体,20.000000000000018,22.397868561278855,13.765541740674948
2026-05-22,688589.SH,力合微,3.398821524684889,2.8057095354711163e-05,半导体,2.6748971193415683,-1.851851851851849,-11.193415637860094
