thresh,days,n,win_rate,avg_ret,pl,ann_serial,ann_3x,avg_win,avg_loss
0.0,5,45,55.55555555555556,2.7118996027455933,1.8830714388748888,46.7588584136556,140.2765752409668,8.487031332112629,-4.507015058963202
0.0,4,45,48.888888888888886,2.106919645115574,1.8925973445863933,36.327730302098,108.983190906294,9.628073751181292,-5.087227760686415
0.3,4,26,57.692307692307686,3.215686962245224,1.693976330011852,32.03501201125137,96.1050360337541,9.828815217706104,-5.802215204292339
0.05,4,26,57.692307692307686,3.215686962245224,1.693976330011852,32.03501201125137,96.1050360337541,9.828815217706104,-5.802215204292339
0.1,4,26,57.692307692307686,3.215686962245224,1.693976330011852,32.03501201125137,96.1050360337541,9.828815217706104,-5.802215204292339
0.15,4,26,57.692307692307686,3.215686962245224,1.693976330011852,32.03501201125137,96.1050360337541,9.828815217706104,-5.802215204292339
0.2,4,26,57.692307692307686,3.215686962245224,1.693976330011852,32.03501201125137,96.1050360337541,9.828815217706104,-5.802215204292339
0.05,5,26,61.53846153846154,2.322109354562652,1.2102422630634007,23.133097822716774,69.39929346815032,7.803198724334937,-6.447633637073004
0.1,5,26,61.53846153846154,2.322109354562652,1.2102422630634007,23.133097822716774,69.39929346815032,7.803198724334937,-6.447633637073004
0.15,5,26,61.53846153846154,2.322109354562652,1.2102422630634007,23.133097822716774,69.39929346815032,7.803198724334937,-6.447633637073004
0.2,5,26,61.53846153846154,2.322109354562652,1.2102422630634007,23.133097822716774,69.39929346815032,7.803198724334937,-6.447633637073004
0.3,5,26,61.53846153846154,2.322109354562652,1.2102422630634007,23.133097822716774,69.39929346815032,7.803198724334937,-6.447633637073004
0.5,1,9,0.0,-0.299550673989013,0.0,-1.0329768505136914,-3.0989305515410743,0.0,-0.299550673989013
0.4,1,9,0.0,-0.299550673989013,0.0,-1.0329768505136914,-3.0989305515410743,0.0,-0.299550673989013
0.15,1,27,0.0,-0.29955067398901547,0.0,-3.098930551541099,-9.296791654623298,0.0,-0.29955067398901547
0.2,1,27,0.0,-0.29955067398901547,0.0,-3.098930551541099,-9.296791654623298,0.0,-0.29955067398901547
0.3,1,27,0.0,-0.29955067398901547,0.0,-3.098930551541099,-9.296791654623298,0.0,-0.29955067398901547
0.1,1,27,0.0,-0.29955067398901547,0.0,-3.098930551541099,-9.296791654623298,0.0,-0.29955067398901547
0.05,1,27,0.0,-0.29955067398901547,0.0,-3.098930551541099,-9.296791654623298,0.0,-0.29955067398901547
0.5,4,8,37.5,-1.0122559435883376,1.120481710312125,-3.102830850241305,-9.308492550723916,5.537632177523048,-4.942188816255169
0.4,4,8,37.5,-1.0122559435883376,1.120481710312125,-3.102830850241305,-9.308492550723916,5.537632177523048,-4.942188816255169
0.4,5,8,37.5,-1.6322114992312025,0.6585467498854018,-5.0031577744855396,-15.009473323456618,2.843279680129585,-4.317506206847674
0.5,5,8,37.5,-1.6322114992312025,0.6585467498854018,-5.0031577744855396,-15.009473323456618,2.843279680129585,-4.317506206847674
0.5,2,9,33.33333333333333,-1.4966190362769645,0.20502412802483425,-5.16097259246667,-15.482917777400008,0.5128364414621464,-2.5013467751465197
0.4,2,9,33.33333333333333,-1.4966190362769645,0.20502412802483425,-5.16097259246667,-15.482917777400008,0.5128364414621464,-2.5013467751465197
0.0,1,50,0.0,-0.2995506739890162,0.0,-5.738760280631679,-17.216280841895035,0.0,-0.2995506739890162
0.5,3,8,25.0,-2.5946910102147003,0.5178047341070579,-7.953410759731798,-23.860232279195394,2.165088793932368,-4.181284278263723
0.4,3,8,25.0,-2.5946910102147003,0.5178047341070579,-7.953410759731798,-23.860232279195394,2.165088793932368,-4.181284278263723
0.05,3,26,30.76923076923077,-1.466781199171725,1.266228489539602,-14.61222870416969,-43.83668611250907,6.1357341601507605,-4.845676914426163
0.3,3,26,30.76923076923077,-1.466781199171725,1.266228489539602,-14.61222870416969,-43.83668611250907,6.1357341601507605,-4.845676914426163
0.1,3,26,30.76923076923077,-1.466781199171725,1.266228489539602,-14.61222870416969,-43.83668611250907,6.1357341601507605,-4.845676914426163
0.15,3,26,30.76923076923077,-1.466781199171725,1.266228489539602,-14.61222870416969,-43.83668611250907,6.1357341601507605,-4.845676914426163
0.2,3,26,30.76923076923077,-1.466781199171725,1.266228489539602,-14.61222870416969,-43.83668611250907,6.1357341601507605,-4.845676914426163
0.0,3,45,28.888888888888886,-0.9614033945801781,1.6905344042443575,-16.576618529708753,-49.72985558912626,7.296963313702357,-4.316364869819958
0.0,2,50,32.0,-0.9742125825707081,1.3231718711560523,-18.663862108196724,-55.99158632459017,5.023873880406772,-3.796841506324817
0.05,2,27,25.925925925925924,-2.5433562409926185,0.6000819935853354,-26.311689617342584,-78.93506885202775,2.608196116566771,-4.3463995661384045
0.3,2,27,25.925925925925924,-2.5433562409926185,0.6000819935853354,-26.311689617342584,-78.93506885202775,2.608196116566771,-4.3463995661384045
0.15,2,27,25.925925925925924,-2.5433562409926185,0.6000819935853354,-26.311689617342584,-78.93506885202775,2.608196116566771,-4.3463995661384045
0.2,2,27,25.925925925925924,-2.5433562409926185,0.6000819935853354,-26.311689617342584,-78.93506885202775,2.608196116566771,-4.3463995661384045
0.1,2,27,25.925925925925924,-2.5433562409926185,0.6000819935853354,-26.311689617342584,-78.93506885202775,2.608196116566771,-4.3463995661384045
