ts_code,score,rank_pct
603629.SH,0.9996113440860613,100.0
300905.SZ,0.9995906763993831,99.97727789138831
000712.SZ,0.9995905764948836,99.95455578277664
603786.SH,0.9995865527953119,99.93183367416496
301396.SZ,0.9995797238976785,99.90911156555329
002320.SZ,0.9995784796941785,99.8863894569416
600900.SH,0.9995753398781012,99.86366734832993
002318.SZ,0.9995732290115279,99.84094523971825
002017.SZ,0.9995707709904466,99.81822313110656
600436.SH,0.9995690617018027,99.79550102249489
601858.SH,0.9995646210718891,99.77277891388322
301153.SZ,0.9995633595475749,99.75005680527153
600845.SH,0.9995633213263997,99.72733469665985
301632.SZ,0.9995632212078169,99.70461258804816
600871.SH,0.9995623899310819,99.6818904794365
002607.SZ,0.9995598471735728,99.65916837082482
002847.SZ,0.9995578918046285,99.63644626221313
601136.SH,0.9995574520704859,99.61372415360145
603050.SH,0.9995557582674182,99.59100204498978
600592.SH,0.9995556815654393,99.5682799363781
002568.SZ,0.9995549619632812,99.54555782776642
600887.SH,0.9995546646963576,99.52283571915473
300302.SZ,0.9995544608516056,99.50011361054307
300678.SZ,0.9995527000942377,99.47739150193138
600518.SH,0.9995526597591378,99.45466939331969
600760.SH,0.9995513163636647,99.43194728470802
301535.SZ,0.9995498076820608,99.40922517609634
300633.SZ,0.9995481333116333,99.38650306748467
600363.SH,0.9995448118398769,99.36378095887298
002284.SZ,0.999543628469512,99.3410588502613
301310.SZ,0.9995433071259266,99.31833674164963
300760.SZ,0.9995428752484964,99.29561463303794
300010.SZ,0.999542468507803,99.27289252442627
603000.SH,0.9995424624934184,99.25017041581458
600329.SH,0.9995420710876957,99.2274483072029
002372.SZ,0.9995419310092634,99.20472619859123
603210.SH,0.9995415995588658,99.18200408997954
600779.SH,0.9995413428398487,99.15928198136787
000568.SZ,0.9995401448316625,99.1365598727562
603538.SH,0.9995400921634467,99.1138377641445
301373.SZ,0.999539902849155,99.09111565553283
002945.SZ,0.9995390916600096,99.06839354692116
002651.SZ,0.9995376523597935,99.04567143830948
603601.SH,0.9995370763858322,99.0229493296978
601608.SH,0.9995368839232793,99.0002272210861
603277.SH,0.9995367281220829,98.97750511247445
600519.SH,0.9995366732919034,98.95478300386276
603983.SH,0.9995365752543526,98.93206089525108
001236.SZ,0.9995360925530515,98.9093387866394
001339.SZ,0.9995351123260788,98.88661667802772
600276.SH,0.9995348179902349,98.86389456941605
300357.SZ,0.9995347556024278,98.84117246080436
601595.SH,0.9995346530569607,98.81845035219268
002653.SZ,0.9995345883046629,98.79572824358101
600598.SH,0.9995342814262741,98.77300613496932
002518.SZ,0.9995339469645451,98.75028402635765
601096.SH,0.9995331154882233,98.72756191774596
600396.SH,0.9995318113928346,98.7048398091343
301192.SZ,0.9995317865514705,98.68211770052261
603173.SH,0.9995316731188404,98.65939559191092
605008.SH,0.9995305618515516,98.63667348329925
601068.SH,0.9995301532398042,98.61395137468757
002460.SZ,0.9995290339137441,98.5912292660759
002911.SZ,0.9995286225946836,98.56850715746421
002265.SZ,0.9995278500309193,98.54578504885254
300910.SZ,0.999527791255032,98.52306294024086
000795.SZ,0.9995275813988334,98.50034083162917
002219.SZ,0.9995271174970631,98.4776187230175
002544.SZ,0.9995270949217188,98.45489661440581
301500.SZ,0.9995267545461702,98.43217450579414
600750.SH,0.999526603791116,98.40945239718246
600809.SH,0.9995264869154181,98.38673028857077
302132.SZ,0.9995263453838584,98.3640081799591
301522.SZ,0.9995262588801123,98.34128607134743
001309.SZ,0.9995261188513467,98.31856396273574
603015.SH,0.9995257873768568,98.29584185412406
301308.SZ,0.9995251652980025,98.27311974551239
002028.SZ,0.9995239072615599,98.2503976369007
603859.SH,0.9995237700646006,98.22767552828903
600316.SH,0.9995236285340646,98.20495341967734
301680.SZ,0.9995230392390564,98.18223131106566
601958.SH,0.9995228742794461,98.15950920245399
301526.SZ,0.9995223635222036,98.1367870938423
601899.SH,0.9995221879428245,98.11406498523063
000768.SZ,0.9995220897215147,98.09134287661895
002401.SZ,0.9995216402348316,98.06862076800728
002980.SZ,0.9995213470472577,98.04589865939559
300253.SZ,0.9995212517326423,98.0231765507839
600783.SH,0.9995210719669155,98.00045444217224
603888.SH,0.9995206638821174,97.97773233356055
605011.SH,0.9995206230452165,97.95501022494888
002027.SZ,0.9995197491818347,97.93228811633719
000895.SZ,0.9995196512390272,97.90956600772552
600689.SH,0.999519262296942,97.88684389911384
600369.SH,0.9995191423738401,97.86412179050215
002379.SZ,0.9995190810769652,97.84139968189048
603728.SH,0.9995187609617475,97.8186775732788
301665.SZ,0.9995184523622614,97.79595546466712
601100.SH,0.9995183007162501,97.77323335605544
000969.SZ,0.9995181321233014,97.75051124744377
